iso3,name,Longitude,Latitude
NZL,New Zealand,172.235,-42.634
OMN,Oman,57.407,21.656
PAK,Pakistan,69.386,29.967
PAN,Panama,-80.92,8.384
PCN,Pitcairn Islands,-128.316,-24.366
PER,Peru,-75.552,-9.326
PHL,Philippines,122.466,11.118
PLW,Palau,134.57,7.501
PNG,Papua New Guinea,143.459,-5.949
POL,Poland,19.401,52.125
PRI,Puerto Rico,-66.466,18.221
PRK,North Korea,126.451,39.778
PRT,Portugal,-8.058,40.309
PRY,Paraguay,-58.391,-23.236
PSE,Palestinian Territories,35.278,32.037
PYF,French Polynesia,-149.462,-17.626
QAT,Qatar,51.191,25.316
REU,Reunion,55.538,-21.122
ROU,Romania,24.969,45.844
RUS,Russia,96.689,61.988
RWA,Rwanda,29.917,-1.998
SAU,Saudi Arabia,44.585,24.023
SDN,Sudan,30.05,13.832
SEN,Senegal,-14.881,15.013
SGP,Singapore,103.808,1.351
SGS,South Georgia & South Sandwich Islands,-36.891,-54.209
SHN,St. Helena,-5.71,-15.953
SJM,Svalbard & Jan Mayen,18.374,78.83
SLB,Solomon Islands,160.109,-9.611
SLE,Sierra Leone,-11.792,8.56
SLV,El Salvador,-88.866,13.736
SMR,San Marino,12.46,43.942
SOM,Somalia,48.316,9.774
SPM,St. Pierre & Miquelon,-56.325,47.042
SRB,Serbia,20.806,44.032
STP,Sao Tome & Principe,6.629,0.201
SUR,Suriname,-55.912,4.127
SVK,Slovakia,19.491,48.707
SVN,Slovenia,14.827,46.124
SWE,Sweden,15.27,62.011
SWZ,Swaziland,31.497,-26.562
SYC,Seychelles,55.474,-4.647
SYR,Syria,38.506,35.013
TCA,Turks & Caicos Islands,-71.95,21.902
TCD,Chad,18.665,15.361
TGO,Togo,1.081,8.799
THA,Thailand,100.844,15.7
TJK,Tajikistan,69.42,38.665
TKL,Tokelau,-171.853,-9.193
TKM,Turkmenistan,59.384,39.122
TLS,Timor-Leste,125.878,-8.822
TON,Tonga,-175.185,-21.202
TTO,Trinidad & Tobago,-61.253,10.468
TUN,Tunisia,9.596,35.383
TUR,Turkey,35.179,39.061
TUV,Tuvalu,179.219,-8.514
TWN,Taiwan,120.946,23.754
TZA,Tanzania,34.823,-6.27
UGA,Uganda,32.386,1.28
UKR,Ukraine,31.388,49.016
UMI,United States Minor Outlying Islands (the),-160.027,-0.385
URY,Uruguay,-56.012,-32.8
USA,United States,-98.606,39.622
UZB,Uzbekistan,63.17,41.75
VAT,Vatican City,12.451,41.904
VCT,St. Vincent & Grenadines,-61.194,13.248
VEN,Venezuela,-66.166,7.125
VGB,British Virgin Islands,-64.39,18.483
VIR,U.S. Virgin Islands,-64.785,17.741
VNM,Vietnam,105.314,21.491
VUT,Vanuatu,166.899,-15.376
WLF,Wallis & Futuna,-178.131,-14.289
WSM,Samoa,-172.414,-13.652
YEM,Yemen,48.355,15.807
ZAF,South Africa,23.121,-30.558
ZMB,Zambia,26.32,-14.614
ZWE,Zimbabwe,29.872,-19
BES,Caribbean Netherlands,-68.25,12.1666666667
CUW,Curacao,-69,12.1666666667
SXM,Sint Maarten,-63.06667,18.04167
SSD,South Sudan,30,8
